ROUTE,DIR,MILES,LOCATION,REGION,OBJECTID,SURFACE_TY,SURF_AREA,YR_OVL,YR_SURF,OCI_12,OCI_11,OCI_10,OCI_09,OCI_08,OCI_07,OCI_06,OCI_05,OCI_04,RIDE_12,RIDE_11,RIDE_10,RIDE_09,RIDE_08,RIDE_07,RIDE_06,RIDE_05,RIDE_04,RUT_12,RUT_11,RUT_10,RUT_09,RUT_08,RUT_07,RUT_06,RUT_05,RUT_04,ENV_12,ENV_11,ENV_10,ENV_09,ENV_08,ENV_07,ENV_06,ENV_05,ENV_04,WPCK_12,WPCK_11,WPCK_10,WPCK_09,WPCK_08,WPCK_07,WPCK_06,WPCK_05,WPCK_04,JTSP_12,JTSP_11,JTSP_10,JTSP_09,JTSP_08,JTSP_07,JTSP_06,JTSP_05,JTSP_04,FALT_12,FALT_11,FALT_10,FALT_09,FALT_08,FALT_07,FALT_06,FALT_05,SLAB_12,CONK_06,CONK_05,CONK_04,FROM_,TO_,FALT_04,SLAB_11,SLAB_10,SLAB_09,SLAB_08,SLAB_07,SQ_YARD,SHAPE_Length,OID_,BMP,EMP,LEVEL_2013,LEVEL_2012,L_CHGE_201,NHS,AADT_2011,COMBOS,Shape_Leng,id,delta_t
0191P,Both,5.521,Dry Valley to Hatch Wash,4,1313,Asphalt,15.08,1965,2006,36.63463,46.04538,60.29422,70.54008,81.41414,66.8418,71.0396,78.28384,80.74031,66.83217,65.03232,66.96758,64.97164,71.06591,62.14848,69.91327,75.87841,72.96125,65.17086,59.30859,65.37895,60.79152,61.31259,70.68539,71.38752,74.92282,100,14.5355,59.8406,38.79265,70.02206,93.6257,50.33508,50,89.73193,50,0,0,70.03769,86.3751,99.65236,84.19825,92.85761,72.60219,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.66,95.181,,,,,,,106163.2,11325.8198377937,1178,89.66,95.181,Level 1,Level 1,No,Yes,3815,1106,11325.8198378,0191P-Both-1313,41
0191P,Both,5.649,White Mesa to SR-95 Shirtail Corner,4,1155,Asphalt,19.4,1997,2011,88.99948,68.44207,59.65417,74.87427,87.79195,92.25351,93.53246,93.73246,97.12719,74.79497,70.19812,75.57895,75.58596,81.34035,78.34737,81.27018,85.42105,88.50877,82.85304,81.49306,82.3386,84.05263,76.6,90.66667,92.85965,89.50877,100,99.28014,53.00614,40.89449,63.85736,95.24522,100,100,100,100,99.06978,69.07097,39.80463,76.00113,97.98222,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4,47.049,,,,,,,136576,11537.1379299893,1039,41.4,47.049,Level 1,Level 1,No,Yes,2520,327,11537.13793,0191P-Both-1155,14
0191P,Both,5.756,MP 140 to Railroad Structure,4,1278,Asphalt,13.61,1997,2010,93.0363,89.53222,54.61806,57.81831,81.84613,73.2289,88.74503,81.66638,83.8941,85.2574,85.35321,54.74186,54.96958,62.06671,58.15621,67.5559,75.20337,77.45391,88.67439,88.9905,74.92847,69.22787,69.91772,84.7594,87.42422,84.99696,100,99.54345,93.39082,35.53194,57.5304,96.50144,50,100,67.46352,67.55386,98.66998,90.39436,53.26996,49.54537,98.89865,100,100,99.00167,90.56862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.974,145.73,,,,,,,95814.4,11899.8642649923,1136,139.974,145.73,Level 1,Level 1,No,Yes,5685,2046,11899.864265,0191P-Both-1278,13
0191P,Both,5.784,Red Cloud Loop Rd to Daggett Co Line,3,1249,Asphalt,14.7633,1989,2008,79.64018,77.21572,79.59426,83.71219,87.78586,82.40912,88.40775,78.63706,81.95824,66.40996,64.69599,69.39281,67.44177,71.49881,71.78147,75.34606,81.57566,76.613,87.72075,84.41799,84.84436,86.36736,81.4,87.855,88.28492,82.97257,100,71.30481,65.45162,69.20967,90.50638,98.24464,70,90,50,70,93.12519,94.29726,94.93022,90.53325,100,100,100,100,81.21995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372.4,378.184,,,,,,,103933.632,12332.2712689613,1093,372.4,378.184,Level 1,Level 2,Yes,No,1539,188,12332.271269,0191P-Both-1249,19
0191P,Both,5.87,MP 276.3 Jones Hollow Rd to MP 282.2,3,1259,Asphalt,15,1977,2010,65.7326,60.32257,45.26884,69.97286,81.93943,80.0163,75.2376,83.11251,80.69053,56.92947,62.78344,61.28511,68.85779,64.6958,64.54596,65.44923,75.19043,73.41734,77.19738,75.54628,82.54076,80.40285,84.53333,85.51925,87.00818,87.25963,100,50.67053,59.66152,1.26379,62.93659,84.85909,70,50,70,50,78.13303,43.29901,35.98572,67.69423,93.66951,100,98.49299,100,99.34478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.327,282.197,,,,,,,105600,12397.2479427751,1111,276.327,282.197,Level 2,Level 2,No,No,540,113,12397.2479428,0191P-Both-1259,33
0191P,Both,6.193,MP 151 to Temp End at I-70 Crescent Junction,4,1287,Asphalt,18.69,2012,2012,94.34338,58.56466,56.70572,56.56025,82.28572,73.05978,89.29562,77.28026,83.24585,89.44576,49.84402,59.08529,54.7555,60.03452,56.17678,68.1825,74.28616,76.94219,88.06233,73.83659,76.51671,76.37736,71.4,86.06233,89,87.19264,100,99.86544,34.34476,20.09214,36.40598,98.24876,50,100,70,70,100,76.23327,71.12875,58.70214,99.4596,100,100,77.64225,86.04123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,157.193,,,,,,,131577.6,12842.3593680331,1132,151,157.193,Level 1,Level 1,No,Yes,5685,2046,12842.359368,0191P-Both-1287,0
0191P,Both,6.22,Steinaker Overlook to Stauffer Chemical,3,1284,Asphalt,16.3267,1978,2010,77.17734,71.62114,68.80933,80.30541,87.30468,82.18127,77.55352,77.62516,91.89051,72.18842,70.23023,73.44309,72.32797,76.59305,74.42765,77.68553,82.0537,80.80096,78.06736,73.36463,83.9955,77.87267,82.53333,84.29743,85.37299,78.44695,100,66.52868,47.48907,44.87153,80.79876,92.51194,70,50,50,90,91.92488,95.40061,72.92719,90.22222,97.58039,100,97.15558,100,96.76107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.27,363.49,,,,,,,114939.968,13199.6990956607,1097,357.27,363.49,Level 1,Level 2,Yes,No,1633,164,13199.6990957,0191P-Both-1284,32
0191P,Both,6.908,SR-279 to Seven Mile Wash,4,1301,Asphalt,39.84,2004,2005,86.58176,69.00049,86.17199,83.96326,91.08123,93.77881,95.71579,95.27084,98.01672,85.52067,84.60428,87.87621,89.10716,88.8317,85.15983,90.10077,91.9445,92.17256,81.50495,76.4573,83.24386,80.76225,76.92881,90.4838,92.76238,89.45587,100,91.61393,74.96934,83.27724,90.06625,99.22741,99.47163,100,99.68298,99.89433,87.68747,39.97104,90.29064,75.91737,99.33699,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.898,136.806,,,,,,,280473.6,14231.0278090203,1140,129.898,136.806,Level 1,Level 1,No,Yes,6764,2395,14231.027809,0191P-Both-1301,1
0191P,Both,7.147,MP 269.2 National Forest Guard Sta to MP 276.3,3,1281,Asphalt,17.5,1977,2003,36.34557,55.49116,48.20332,70.85406,79.98154,74.72189,81.96292,90.80947,93.03164,52.09207,60.72556,57.87648,68.46313,63.19817,64.7327,70.45907,83.89103,82.12657,81.24268,79.86451,86.43469,79.11819,83.73333,84.69302,87.39261,89.34686,100,12.04753,36.80294,1.2793,58.85849,88.13529,50,70,90,90,0,44.57161,47.22282,76.97644,84.85938,99.46185,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.18,276.327,,,,,,,123200,15083.2785945827,1113,269.18,276.327,Level 2,Level 2,No,No,540,113,15083.2785946,0191P-Both-1281,26
0191P,Both,7.217,Blanding Cemetary to Devil's Canyon,4,1325,Asphalt,27.19,1985,2006,76.23743,68.59696,71.09254,75.73233,86.31431,82.41624,88.87947,89.98083,91.50508,71.95682,65.43046,71.44897,68.26142,73.77561,73.34224,77.82294,84.37717,83.88592,73.24488,69.30537,74.75533,74.54531,74.26701,85.9985,87.58685,85.54613,100,78.81092,56.65071,57.70032,79.13412,97.78342,70.32423,90.10808,90,90.10808,80.93709,83.0013,80.46555,80.98846,99.43119,100,100,100,92.02632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.029,59.246,,,,,,,191417.6,14673.2816303028,1203,52.029,59.246,Level 1,Level 1,No,Yes,2965,504,14673.2816303,0191P-Both-1325,21
