id,SURFACE_TY,REGION,YR_SURF,Metric,OCI
0012P-Both-189,Asphalt,4,2005,OCI_04,86.85846
0012P-Both-242,Asphalt,4,2011,OCI_04,81.84109
0012P-Both-271,Asphalt,4,2011,OCI_04,76.36079
0012P-Both-280,Asphalt,4,2005,OCI_04,79.03929
0012P-Both-241,Asphalt,4,2005,OCI_04,82.98471
0012P-Both-117,Asphalt,4,2007,OCI_04,79.27471
0012P-Both-202,Asphalt,4,2010,OCI_04,85.91006
0012P-Both-160,Asphalt,4,2004,OCI_04,93.52626
0012P-Both-82,Asphalt,4,2010,OCI_04,86.41606
0012P-Both-140,Asphalt,4,2009,OCI_04,73.88871
0012P-Both-221,Asphalt,4,2009,OCI_04,79.83244
0012P-Both-266,Asphalt,4,2003,OCI_04,90.26364
0012P-Both-105,Asphalt,4,2004,OCI_04,90.98385
0013P-Both-406,Asphalt,1,2006,OCI_04,48.01667
0013P-Both-364,Asphalt,1,2006,OCI_04,62.21667
0013P-Both-321,Asphalt,1,2009,OCI_04,59
0013P-Both-73,Asphalt,1,2006,OCI_04,49.16877
0013P-Both-342,Asphalt,1,2006,OCI_04,58.11988
0013P-Both-303,Asphalt,1,2009,OCI_04,77.02528
0013P-Both-77,Asphalt,1,2006,OCI_04,78.95633
0013P-Both-75,Asphalt,1,2012,OCI_04,81.97304
0013P-Both-383,Asphalt,1,2005,OCI_04,77.69069
0013P-Both-302,Asphalt,1,2010,OCI_04,94.93498
0013P-Both-24,Asphalt,1,2005,OCI_04,82.61189
0013P-Both-328,Asphalt,1,2010,OCI_04,94.93498
0013P-Both-33,Asphalt,1,2010,OCI_04,94.93498
0013P-Both-57,Asphalt,1,2010,OCI_04,87.45996
0014P-Both-162,Asphalt,4,2012,OCI_04,96.06667
0014P-Both-196,Asphalt,4,2012,OCI_04,95.93886
0014P-Both-296,Asphalt,4,2012,OCI_04,77.80877
0014P-Both-234,Asphalt,4,2010,OCI_04,89.44696
0014P-Both-260,Asphalt,4,2011,OCI_04,77.80877
0014P-Both-305,Asphalt,4,2010,OCI_04,89.44696
0014P-Both-261,Asphalt,4,2010,OCI_04,79.61266
0014P-Both-349,Asphalt,4,2006,OCI_04,94.21436
0015P-Positive-70,Concrete,2,2010,OCI_04,97.9875
0015P-Positive-403,Concrete,2,2012,OCI_04,97.79795
0015P-Positive-164,Concrete,2,2012,OCI_04,98.39256
0015P-Positive-341,Asphalt,3,2012,OCI_04,95.81955
0015P-Positive-200,Concrete,1,2011,OCI_04,95.47913
0015P-Positive-284,Asphalt,1,2009,OCI_04,74.14724
0015P-Positive-71,Concrete,2,2007,OCI_04,97.30872
0015P-Positive-40,Concrete,1,2012,OCI_04,87.05078
0015P-Positive-54,Concrete,1,2010,OCI_04,80.18414
0015P-Positive-325,Asphalt,1,2007,OCI_04,88.57657
0015P-Positive-422,Asphalt,3,2009,OCI_04,97.54751
0015P-Positive-239,Concrete,2,2011,OCI_04,90.4568
0015P-Positive-107,Asphalt,1,1999,OCI_04,99.10851
0015P-Positive-138,Concrete,2,2010,OCI_04,99.19931
0015P-Positive-176,Asphalt,1,2007,OCI_04,88.47439
0015P-Positive-269,Asphalt,3,2008,OCI_04,98.47651
0015P-Positive-367,Asphalt,1,2010,OCI_04,98.88235
0015P-Positive-324,Concrete,3,2012,OCI_04,98.97509
0015P-Positive-348,Asphalt,1,2007,OCI_04,93.51058
0015P-Positive-118,Concrete,1,2010,OCI_04,79.62576
0015P-Positive-218,Asphalt,1,2004,OCI_04,89.11696
0015P-Positive-361,Asphalt,3,2009,OCI_04,97.88301
0015P-Positive-285,Asphalt,1,2007,OCI_04,93.51058
0015P-Positive-68,Asphalt,4,2005,OCI_04,76.71409
0015P-Positive-201,Concrete,1,2009,OCI_04,74.14724
0015P-Positive-94,Concrete,2,2012,OCI_04,97.2822
0015P-Positive-126,Asphalt,1,2012,OCI_04,81.15228
0015P-Positive-282,Asphalt,1,2010,OCI_04,98.70158
0015P-Positive-106,Concrete,1,2002,OCI_04,83.57582
0015P-Positive-103,Concrete,1,2011,OCI_04,88.86948
0015P-Positive-136,Asphalt,4,2004,OCI_04,99.31236
0015P-Positive-101,Asphalt,4,2006,OCI_04,85.63462
0015P-Positive-166,Asphalt,3,2008,OCI_04,98.10073
0015P-Positive-93,Asphalt,4,2010,OCI_04,98.78272
0015P-Positive-167,Concrete,2,2011,OCI_04,85.32301
0015P-Positive-137,Concrete,3,2007,OCI_04,68.24714
0015P-Positive-165,Asphalt,4,2012,OCI_04,76.71409
0015P-Positive-360,Asphalt,1,2008,OCI_04,75.62882
0015P-Positive-340,Asphalt,4,2008,OCI_04,79.18333
0015P-Positive-53,Asphalt,4,2004,OCI_04,99.61732
0015P-Positive-163,Asphalt,4,2007,OCI_04,97.50552
0015P-Positive-389,Asphalt,4,2012,OCI_04,96.02708
0015P-Positive-39,Concrete,1,2004,OCI_04,87.83951
0015P-Positive-37,Asphalt,4,2006,OCI_04,88.72538
0015P-Positive-38,Asphalt,1,2010,OCI_04,98.16271
0015P-Positive-359,Asphalt,4,2010,OCI_04,97.30441
0015P-Positive-265,Asphalt,4,2010,OCI_04,91.87264
0015P-Positive-267,Concrete,2,2012,OCI_04,98.36068
0015P-Positive-217,Concrete,3,2006,OCI_04,89.35603
0015P-Positive-346,Concrete,1,2005,OCI_04,84.82042
0015P-Positive-52,Asphalt,4,2011,OCI_04,93.90528
0015P-Positive-330,Concrete,4,2005,OCI_04,85.67877
0015P-Positive-259,Asphalt,4,2012,OCI_04,92.71202
0015P-Positive-320,Asphalt,4,2009,OCI_04,86.90329
0015P-Positive-119,Asphalt,3,2011,OCI_04,99.08369
0015P-Positive-358,Asphalt,4,2011,OCI_04,96.76862
0015P-Positive-215,Asphalt,4,2009,OCI_04,99.25779
0015P-Positive-411,Concrete,1,2011,OCI_04,87.80902
0015P-Positive-323,Concrete,3,2011,OCI_04,79.30151
0015P-Positive-377,Asphalt,3,2011,OCI_04,97.79591
0015P-Positive-199,Asphalt,4,2006,OCI_04,86.97935
0015P-Positive-225,Asphalt,4,2006,OCI_04,94.51482
0015P-Positive-158,Asphalt,4,2012,OCI_04,92.8357
0015P-Positive-402,Asphalt,4,2009,OCI_04,98.31369
0016P-Both-174,Asphalt,1,2007,OCI_04,77.00382
0016P-Both-104,Asphalt,1,2012,OCI_04,91.10172
0016P-Both-283,Asphalt,1,2007,OCI_04,77.00382
0017P-Both-410,Asphalt,4,2009,OCI_04,74.60711
0018P-Both-347,Asphalt,4,2009,OCI_04,85.54777
0018P-Both-368,Asphalt,4,2012,OCI_04,85.28397
0018P-Both-128,Asphalt,4,2004,OCI_04,85.28221
0018P-Both-248,Asphalt,4,2011,OCI_04,85.54777
0018P-Both-308,Asphalt,4,2004,OCI_04,85.28397
0018P-Both-204,Asphalt,4,2012,OCI_04,85.28397
0018P-Both-41,Asphalt,4,2008,OCI_04,82.8381
0019P-Both-369,Asphalt,4,2011,OCI_04,68.48647
0019P-Both-286,Asphalt,4,2011,OCI_04,72.43703
0019P-Both-205,Asphalt,4,2011,OCI_04,83.81804
0020P-Both-42,Asphalt,4,2004,OCI_04,96.49222
0020P-Both-109,Asphalt,4,2004,OCI_04,95.22087
0021P-Both-149,Asphalt,4,2006,OCI_04,67.26066
0021P-Both-332,Asphalt,4,2007,OCI_04,82.88776
0021P-Both-415,Asphalt,4,2005,OCI_04,89.26007
0021P-Both-178,Asphalt,4,2004,OCI_04,96.38903
0021P-Both-414,Asphalt,4,2004,OCI_04,96.38903
0021P-Both-350,Asphalt,4,2004,OCI_04,87.71429
0021P-Both-351,Asphalt,4,2012,OCI_04,96.29866
0021P-Both-287,Asphalt,4,2012,OCI_04,88.25207
0021P-Both-110,Asphalt,4,2012,OCI_04,96.38903
0021P-Both-85,Asphalt,4,2004,OCI_04,91.89243
0021P-Both-227,Asphalt,4,2004,OCI_04,93.75711
0021P-Both-393,Asphalt,4,2009,OCI_04,95.5387
0021P-Both-179,Asphalt,4,2005,OCI_04,93.28889
0021P-Both-251,Asphalt,4,2005,OCI_04,92.14724
0021P-Both-150,Asphalt,4,2004,OCI_04,93.96441
0021P-Both-84,Asphalt,4,2009,OCI_04,88.2743
0021P-Both-331,Asphalt,4,2005,OCI_04,91.17868
0022P-Both-61,Asphalt,4,2009,OCI_04,80.57974
0023P-Both-416,Asphalt,1,2005,OCI_04,78.95646
0023P-Both-86,Asphalt,1,2005,OCI_04,78.95646
0023P-Both-309,Asphalt,1,2006,OCI_04,72.37643
0023P-Both-394,Asphalt,1,2006,OCI_04,74.31608
0024P-Both-310,Asphalt,4,2012,OCI_04,87.66986
0024P-Both-62,Asphalt,4,2012,OCI_04,87.66986
0024P-Both-396,Asphalt,4,2011,OCI_04,87.66986
0024P-Both-87,Asphalt,4,2011,OCI_04,92.42885
0024P-Both-151,Asphalt,4,2012,OCI_04,92.42885
0024P-Both-228,Asphalt,4,2012,OCI_04,97.28018
0024P-Both-130,Asphalt,4,2012,OCI_04,87.86448
0024P-Both-44,Asphalt,4,2012,OCI_04,87.08698
0024P-Both-111,Asphalt,4,2011,OCI_04,85.68062
0024P-Both-288,Asphalt,4,2012,OCI_04,73.13784
0024P-Both-352,Asphalt,4,2011,OCI_04,87.01999
0024P-Both-152,Asphalt,4,2011,OCI_04,96.67193
0024P-Both-129,Asphalt,4,2007,OCI_04,93.76779
0024P-Both-289,Asphalt,4,2006,OCI_04,83.67993
0024P-Both-334,Asphalt,4,2011,OCI_04,97.28018
0024P-Both-63,Asphalt,4,2006,OCI_04,85.22813
0024P-Both-371,Asphalt,4,2011,OCI_04,73.13784
0024P-Both-395,Asphalt,4,2010,OCI_04,98.99433
0024P-Both-207,Asphalt,4,2007,OCI_04,78.50023
0024P-Both-229,Asphalt,4,2004,OCI_04,93.48262
0024P-Both-43,Asphalt,4,2005,OCI_04,78.83501
0024P-Both-180,Asphalt,4,2005,OCI_04,94.77213
0024P-Both-112,Asphalt,4,2005,OCI_04,92.07066
0025P-Both-417,Asphalt,4,2005,OCI_04,86.93952
0026P-Both-88,Concrete,1,2009,OCI_04,92.82223
0026P-Both-353,Asphalt,1,2008,OCI_04,85.5619
0026P-Both-254,Concrete,1,2008,OCI_04,85.60733
0026P-Both-181,Concrete,1,2009,OCI_04,92.82223
0028P-Both-230,Concrete,3,2011,OCI_04,84.79375
0028P-Both-255,Asphalt,4,2011,OCI_04,92.5684
0028P-Both-336,Asphalt,3,2007,OCI_04,95.16624
0028P-Both-335,Asphalt,4,2010,OCI_04,99.20314
0028P-Both-153,Asphalt,3,2012,OCI_04,96.60602
0028P-Both-89,Asphalt,3,2012,OCI_04,98.06833
0028P-Both-418,Asphalt,4,2010,OCI_04,99.06666
0028P-Both-397,Asphalt,3,2012,OCI_04,95.91808
0029P-Both-64,Asphalt,4,2012,OCI_04,87.66051
0029P-Both-398,Asphalt,4,2011,OCI_04,87.66051
0029P-Both-312,Asphalt,4,2009,OCI_04,81.4335
